Entry	Status	Gene ontology (molecular function)
O35984	reviewed	chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor binding [GO:0008134]
O54714	reviewed	enzyme binding [GO:0019899]; potassium channel regulator activity [GO:0015459]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]; SUMO transferase activity [GO:0019789]; zinc ion binding [GO:0008270]
P70338	reviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; transcription regulatory region DNA binding [GO:0044212]
Q08874	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
O54790	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein heterodimerization activity [GO:0046982]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
Q60795	reviewed	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; sequence-specific DNA binding [GO:0043565]; transcription cofactor binding [GO:0001221]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]
O54791	reviewed	DNA-binding transcription factor activity [GO:0003700]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
Q9D071	reviewed	enzyme binding [GO:0019899]; estrogen receptor binding [GO:0030331]; transcription coactivator activity [GO:0003713]
O54826	reviewed	chromatin binding [GO:0003682]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; nucleosome binding [GO:0031491]
P42225	reviewed	CCR5 chemokine receptor binding [GO:0031730]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; histone acetyltransferase binding [GO:0035035]; histone binding [GO:0042393]; identical protein binding [GO:0042802]; nuclear hormone receptor binding [GO:0035257]; promoter-specific chromatin binding [GO:1990841]; protein homodimerization activity [GO:0042803]; protein phosphatase 2A binding [GO:0051721]; repressing transcription factor binding [GO:0070491]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding [GO:0000983]; transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000982]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin-like protein ligase binding [GO:0044389]
Q91X45	reviewed	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
O54863	reviewed	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein-containing complex binding [GO:0044877]; protein serine/threonine kinase activity [GO:0004674]
Q9Z1A1	unreviewed	identical protein binding [GO:0042802]
O54941	reviewed	DNA binding [GO:0003677]; N-acetyltransferase activity [GO:0008080]; nuclear receptor binding [GO:0016922]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]
O55026	reviewed	adenosine-diphosphatase activity [GO:0043262]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; nucleoside-diphosphatase activity [GO:0017110]; nucleoside-triphosphatase activity [GO:0017111]
O70439	reviewed	chloride channel inhibitor activity [GO:0019869]; protein-containing complex binding [GO:0044877]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]
O70306	reviewed	protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcription corepressor activity [GO:0003714]; transcription regulatory region sequence-specific DNA binding [GO:0000976]
P15307	reviewed	chromatin binding [GO:0003682]; distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]
P19091	reviewed	androgen binding [GO:0005497]; androgen receptor activity [GO:0004882]; androgen receptor binding [GO:0050681]; ATPase binding [GO:0051117]; beta-catenin binding [GO:0008013]; chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; enzyme binding [GO:0019899]; nuclear receptor activity [GO:0004879]; POU domain binding [GO:0070974]; protein domain specific binding [GO:0019904]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; ribonucleotide binding [GO:0032553]; RNA polymerase II basal transcription factor binding [GO:0001091]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor binding [GO:0001085]; sequence-specific DNA binding [GO:0043565]; signaling receptor binding [GO:0005102]; steroid binding [GO:0005496]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; zinc ion binding [GO:0008270]
P20067	reviewed	DNA-binding transcription factor activity [GO:0003700]; proteasome binding [GO:0070628]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; protein N-terminus binding [GO:0047485]; protein self-association [GO:0043621]; RNA polymerase II transcription factor binding [GO:0001085]; transcription factor binding [GO:0008134]
P42586	reviewed	chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; proximal promoter sequence-specific DNA binding [GO:0000987]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]
P97471	reviewed	chromatin binding [GO:0003682]; collagen binding [GO:0005518]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; filamin binding [GO:0031005]; identical protein binding [GO:0042802]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter sequence-specific DNA binding [GO:0000987]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; RNA polymerase II transcription factor binding [GO:0001085]; R-SMAD binding [GO:0070412]; SMAD binding [GO:0046332]; sulfate binding [GO:0043199]; transcription coregulator activity [GO:0003712]; transcription regulatory region DNA binding [GO:0044212]; transforming growth factor beta receptor, common-partner cytoplasmic mediator activity [GO:0030616]
P97480	reviewed	chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine phosphatase activity [GO:0004725]
Q5SXJ3	reviewed	4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q61221	reviewed	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; enzyme binding [GO:0019899]; histone acetyltransferase binding [GO:0035035]; histone deacetylase binding [GO:0042826]; Hsp90 protein binding [GO:0051879]; nuclear hormone receptor binding [GO:0035257]; p53 binding [GO:0002039]; protein-containing complex binding [GO:0044877]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]
Q62219	reviewed	androgen receptor binding [GO:0050681]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; Roundabout binding [GO:0048495]; transcription coactivator activity [GO:0003713]
Q64163	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein domain specific binding [GO:0019904]; transcription coregulator activity [GO:0003712]; transcription factor binding [GO:0008134]
Q64287	reviewed	DNA-binding transcription factor activity [GO:0003700]; protein-lysine N-methyltransferase activity [GO:0016279]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
Q64701	reviewed	promoter-specific chromatin binding [GO:1990841]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II regulatory region DNA binding [GO:0001012]; transcription factor binding [GO:0008134]
Q69ZU8	reviewed	
Q7TNV0	reviewed	DNA binding [GO:0003677]; histone binding [GO:0042393]
Q99LJ2	reviewed	translation elongation factor activity [GO:0003746]
Q9CQZ1	reviewed	identical protein binding [GO:0042802]; transcription corepressor activity [GO:0003714]
Q9CXU1	reviewed	transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]
Q9D8X5	reviewed	3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]
Q9D902	reviewed	DNA binding [GO:0003677]
Q9DBA9	reviewed	chromatin binding [GO:0003682]
Q9EPZ6	reviewed	protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor binding [GO:0001085]; transcription corepressor activity [GO:0003714]; transcription regulatory region sequence-specific DNA binding [GO:0000976]
Q9EQN3	reviewed	DNA-binding transcription factor activity [GO:0003700]
O55201	reviewed	chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; mRNA binding [GO:0003729]; protein heterodimerization activity [GO:0046982]
P63271	reviewed	protein heterodimerization activity [GO:0046982]; RNA polymerase II complex binding [GO:0000993]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]
Q925E7	reviewed	protein phosphatase regulator activity [GO:0019888]
O55203	reviewed	enzyme binding [GO:0019899]; LIM domain binding [GO:0030274]; RNA polymerase II activating transcription factor binding [GO:0001102]; transcription coregulator activity [GO:0003712]
P25801	reviewed	bHLH transcription factor binding [GO:0043425]; chromatin binding [GO:0003682]; cofactor binding [GO:0048037]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; metal ion binding [GO:0046872]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
P53776	reviewed	metal ion binding [GO:0046872]; methyl-CpG binding [GO:0008327]; sequence-specific DNA binding [GO:0043565]
P61372	reviewed	bHLH transcription factor binding [GO:0043425]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; enhancer sequence-specific DNA binding [GO:0001158]; estrogen receptor binding [GO:0030331]; metal ion binding [GO:0046872]; nuclear receptor binding [GO:0016922]; promoter-specific chromatin binding [GO:1990841]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]
P61375	reviewed	metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
P61969	reviewed	enhancer sequence-specific DNA binding [GO:0001158]; metal ion binding [GO:0046872]; transcription factor binding [GO:0008134]
P63006	reviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; transcription corepressor activity [GO:0003714]
Q3U4B1	unreviewed	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697]
Q8BZL8	reviewed	metal ion binding [GO:0046872]
Q8C9M8	unreviewed	DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]
Q924W9	reviewed	metal ion binding [GO:0046872]
Q9CXV0	reviewed	metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
Q9CYZ8	reviewed	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697]
Q9D0P5	reviewed	metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]
Q9JKU8	reviewed	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
Q9WUH2	reviewed	metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; transcription corepressor activity [GO:0003714]
Q9Z0S2	reviewed	chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
O70137	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
P97875	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; protein heterodimerization activity [GO:0046982]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
O70191	reviewed	chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; heat shock protein binding [GO:0031072]; kinase binding [GO:0019900]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region DNA binding [GO:0044212]; tubulin binding [GO:0015631]
P53568	reviewed	DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II proximal promoter sequence-specific DNA binding, bending [GO:0044377]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]
O70220	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q9D032	reviewed	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697]
O70273	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q9EST8	reviewed	
O70343	reviewed	alpha-tubulin binding [GO:0043014]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; estrogen receptor binding [GO:0030331]; nuclear receptor binding [GO:0016922]; nuclear receptor transcription coactivator activity [GO:0030374]; peroxisome proliferator activated receptor binding [GO:0042975]; promoter-specific chromatin binding [GO:1990841]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]
Q9Z0Y9	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; nuclear receptor transcription coactivator activity [GO:0030374]; protein heterodimerization activity [GO:0046982]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; retinoid X receptor binding [GO:0046965]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; signaling receptor activity [GO:0038023]; steroid hormone receptor activity [GO:0003707]; sterol response element binding [GO:0032810]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]
O70433	reviewed	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; transcription factor binding [GO:0008134]
P22561	reviewed	C2H2 zinc finger domain binding [GO:0070742]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; double-stranded DNA binding [GO:0003690]; double-stranded methylated DNA binding [GO:0010385]; hemi-methylated DNA-binding [GO:0044729]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region DNA binding [GO:0044212]; zinc ion binding [GO:0008270]
O70445	reviewed	metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; ubiquitin-protein transferase activity [GO:0004842]
O70479	reviewed	GTP-Rho binding [GO:0017049]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]; ubiquitin-protein transferase activity [GO:0004842]
O88196	reviewed	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
Q6P8Z1	reviewed	DNA-binding transcription factor activity [GO:0003700]
O88282	reviewed	DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
P41183	reviewed	chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; intronic transcription regulatory region sequence-specific DNA binding [GO:0001161]; metal ion binding [GO:0046872]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]
O88508	reviewed	chromatin binding [GO:0003682]; DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates [GO:0051719]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcription factor binding [GO:0008134]
Q9CWR8	reviewed	enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]
Q60769	reviewed	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; kinase binding [GO:0019900]; Lys63-specific deubiquitinase activity [GO:0061578]; protease binding [GO:0002020]; protein self-association [GO:0043621]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; ubiquitin binding [GO:0043130]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q61187	reviewed	calcium-dependent protein binding [GO:0048306]; nuclear receptor transcription coactivator activity [GO:0030374]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; transcription corepressor activity [GO:0003714]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; virion binding [GO:0046790]
Q6T264	reviewed	peptide antigen binding [GO:0042605]; protein kinase binding [GO:0019901]; transcription coactivator activity [GO:0003713]
P42582	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; histone deacetylase binding [GO:0042826]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; serum response element binding [GO:0010736]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]
Q62432	reviewed	activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; co-SMAD binding [GO:0070410]; disordered domain specific binding [GO:0097718]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; phosphatase binding [GO:0019902]; primary miRNA binding [GO:0070878]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; R-SMAD binding [GO:0070412]; SMAD binding [GO:0046332]; tau protein binding [GO:0048156]; transcription factor binding [GO:0008134]; transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity [GO:0030618]; transforming growth factor beta receptor binding [GO:0005160]; type I transforming growth factor beta receptor binding [GO:0034713]; ubiquitin protein ligase binding [GO:0031625]
Q8BUN5	reviewed	beta-catenin binding [GO:0008013]; bHLH transcription factor binding [GO:0043425]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; collagen binding [GO:0005518]; co-SMAD binding [GO:0070410]; DEAD/H-box RNA helicase binding [GO:0017151]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; glucocorticoid receptor binding [GO:0035259]; identical protein binding [GO:0042802]; mineralocorticoid receptor binding [GO:0031962]; phosphatase binding [GO:0019902]; primary miRNA binding [GO:0070878]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; proximal promoter sequence-specific DNA binding [GO:0000987]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; R-SMAD binding [GO:0070412]; sequence-specific DNA binding [GO:0043565]; SMAD binding [GO:0046332]; transcription coregulator activity [GO:0003712]; transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding [GO:0000983]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity [GO:0030618]; transforming growth factor beta receptor binding [GO:0005160]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]
O88643	reviewed	ATP binding [GO:0005524]; collagen binding [GO:0005518]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; Rac GTPase binding [GO:0048365]
Q64729	reviewed	activin binding [GO:0048185]; ATP binding [GO:0005524]; growth factor binding [GO:0019838]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; signaling receptor binding [GO:0005102]; SMAD binding [GO:0046332]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity, type I [GO:0005025]; type II transforming growth factor beta receptor binding [GO:0005114]; ubiquitin protein ligase binding [GO:0031625]
O88708	reviewed	ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; nucleotide binding [GO:0000166]
P15927	reviewed	damaged DNA binding [GO:0003684]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; G-rich strand telomeric DNA binding [GO:0098505]; protein N-terminus binding [GO:0047485]; protein phosphatase binding [GO:0019903]; sequence-specific DNA binding [GO:0043565]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase binding [GO:0031625]
P25206	reviewed	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]
P49717	reviewed	ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; single-stranded DNA binding [GO:0003697]
P97310	reviewed	ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; enzyme binding [GO:0019899]; helicase activity [GO:0004386]; histone binding [GO:0042393]; metal ion binding [GO:0046872]
P97311	reviewed	ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; identical protein binding [GO:0042802]; single-stranded DNA binding [GO:0003697]
Q60862	reviewed	DNA replication origin binding [GO:0003688]
Q62193	reviewed	damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; G-rich strand telomeric DNA binding [GO:0098505]; protein N-terminus binding [GO:0047485]; protein phosphatase binding [GO:0019903]; sequence-specific DNA binding [GO:0043565]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase binding [GO:0031625]
Q9QZ41	reviewed	nucleic acid binding [GO:0003676]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]
Q9WUJ8	reviewed	DNA replication origin binding [GO:0003688]
Q9WUV0	reviewed	ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]
Q9Z1N2	reviewed	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA replication origin binding [GO:0003688]; metal ion binding [GO:0046872]
O88712	reviewed	DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; PDZ domain binding [GO:0030165]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
