Entry	Status	Gene ontology (molecular function)
P61353	reviewed	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
O95988	reviewed	protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]
Q13557	reviewed	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; sodium channel inhibitor activity [GO:0019871]; titin binding [GO:0031432]
Q96PV4	reviewed	identical protein binding [GO:0042802]
O75448	reviewed	nuclear receptor transcription coactivator activity [GO:0030374]; signaling receptor activity [GO:0038023]; thyroid hormone receptor binding [GO:0046966]; transcription coregulator activity [GO:0003712]; vitamin D receptor binding [GO:0042809]
O95248	reviewed	phosphatase regulator activity [GO:0019208]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]
O95865	reviewed	amino acid binding [GO:0016597]; catalytic activity [GO:0003824]; dimethylargininase activity [GO:0016403]
Q86WB0	reviewed	protein kinase binding [GO:0019901]; zinc ion binding [GO:0008270]
Q8IZ69	reviewed	RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]
Q8TAM1	reviewed	ATP binding [GO:0005524]; RNA polymerase II repressing transcription factor binding [GO:0001103]
Q8TBF2	reviewed	antioxidant activity [GO:0016209]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; prostaglandin-F synthase activity [GO:0047017]
Q9H814	reviewed	RNA binding [GO:0003723]; toxic substance binding [GO:0015643]
Q9NYL9	reviewed	actin binding [GO:0003779]; cadherin binding involved in cell-cell adhesion [GO:0098641]; tropomyosin binding [GO:0005523]
V9HW53	unreviewed	dimethylargininase activity [GO:0016403]
O14791	reviewed	chloride channel activity [GO:0005254]; lipid binding [GO:0008289]
O14795	reviewed	calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; diacylglycerol binding [GO:0019992]; GTP-dependent protein binding [GO:0030742]; phospholipid binding [GO:0005543]; Rab GTPase binding [GO:0017137]; syntaxin-1 binding [GO:0017075]
Q96GM8	reviewed	3'-5'-exoribonuclease activity [GO:0000175]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; snRNA binding [GO:0017069]
O14796	reviewed	protein binding, bridging [GO:0030674]
Q06830	reviewed	cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; peroxidase activity [GO:0004601]; RNA binding [GO:0003723]; thioredoxin peroxidase activity [GO:0008379]
Q14765	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]
Q53HF2	unreviewed	ATP binding [GO:0005524]
O14798	reviewed	TRAIL binding [GO:0045569]; transmembrane signaling receptor activity [GO:0004888]
P02647	reviewed	amyloid-beta binding [GO:0001540]; apolipoprotein A-I receptor binding [GO:0034191]; apolipoprotein receptor binding [GO:0034190]; chemorepellent activity [GO:0045499]; cholesterol binding [GO:0015485]; cholesterol transporter activity [GO:0017127]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; high-density lipoprotein particle binding [GO:0008035]; high-density lipoprotein particle receptor binding [GO:0070653]; identical protein binding [GO:0042802]; lipase inhibitor activity [GO:0055102]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; phospholipid transporter activity [GO:0005548]
Q8N5W9	reviewed	filamin binding [GO:0031005]
O14802	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]
Q9H6T3	reviewed	
O14807	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP-dependent protein binding [GO:0030742]
Q15369	reviewed	
O14810	reviewed	neurotransmitter transporter activity [GO:0005326]; SNARE binding [GO:0000149]; syntaxin-1 binding [GO:0017075]
O14817	reviewed	antigen binding [GO:0003823]; integrin binding [GO:0005178]
O14818	reviewed	endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; threonine-type endopeptidase activity [GO:0004298]
P25787	reviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
P55072	reviewed	ADP binding [GO:0043531]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; BAT3 complex binding [GO:1904288]; deubiquitinase activator activity [GO:0035800]; identical protein binding [GO:0042802]; K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]; lipid binding [GO:0008289]; MHC class I protein binding [GO:0042288]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein domain specific binding [GO:0019904]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-specific protease binding [GO:1990381]
Q9HC96	reviewed	calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; cytoskeletal protein binding [GO:0008092]; SNARE binding [GO:0000149]
V9HW80	unreviewed	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]
O14827	reviewed	calmodulin binding [GO:0005516]; guanyl-nucleotide exchange factor activity [GO:0005085]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]
O14829	reviewed	calcium ion binding [GO:0005509]; iron ion binding [GO:0005506]; manganese ion binding [GO:0030145]; protein serine/threonine phosphatase activity [GO:0004722]
O14832	reviewed	carboxylic acid binding [GO:0031406]; cofactor binding [GO:0048037]; ferrous iron binding [GO:0008198]; L-ascorbic acid binding [GO:0031418]; phytanoyl-CoA dioxygenase activity [GO:0048244]
O14836	reviewed	signaling receptor activity [GO:0038023]
O14841	reviewed	5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]
O14862	reviewed	double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]
O14867	reviewed	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; distal enhancer DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001206]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; heme binding [GO:0020037]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]
O15525	reviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
O60675	reviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RING-like zinc finger domain binding [GO:0071535]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription cofactor binding [GO:0001221]
P15336	reviewed	cAMP response element binding [GO:0035497]; cAMP response element binding protein binding [GO:0008140]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enhancer sequence-specific DNA binding [GO:0001158]; histone acetyltransferase activity [GO:0004402]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
P18846	reviewed	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
Q02930	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
Q9UJX4	reviewed	protein phosphatase binding [GO:0019903]; ubiquitin protein ligase activity [GO:0061630]
Q9Y5Q3	reviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]
O14879	reviewed	identical protein binding [GO:0042802]; RNA binding [GO:0003723]
P02649	reviewed	amyloid-beta binding [GO:0001540]; antioxidant activity [GO:0016209]; cholesterol binding [GO:0015485]; cholesterol transporter activity [GO:0017127]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]; lipoprotein particle binding [GO:0071813]; low-density lipoprotein particle receptor binding [GO:0050750]; metal chelating activity [GO:0046911]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; protein-containing complex binding [GO:0044877]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; structural molecule activity [GO:0005198]; tau protein binding [GO:0048156]; very-low-density lipoprotein particle receptor binding [GO:0070326]
P05067	reviewed	acetylcholine receptor activator activity [GO:0030549]; acetylcholine receptor binding [GO:0033130]; amylin binding [GO:0097645]; apolipoprotein binding [GO:0034185]; chaperone binding [GO:0051087]; chemoattractant activity [GO:0042056]; DNA binding [GO:0003677]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; frizzled binding [GO:0005109]; growth factor receptor binding [GO:0070851]; heparan sulfate binding [GO:1904399]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; insulin receptor binding [GO:0005158]; integrin binding [GO:0005178]; low-density lipoprotein particle receptor binding [GO:0050750]; peptidase activator activity [GO:0016504]; protein dimerization activity [GO:0046983]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; PTB domain binding [GO:0051425]; receptor activator activity [GO:0030546]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor binding [GO:0005102]; transition metal ion binding [GO:0046914]
P09913	reviewed	RNA binding [GO:0003723]
P09914	reviewed	RNA binding [GO:0003723]
P10632	reviewed	arachidonic acid epoxygenase activity [GO:0008392]; aromatase activity [GO:0070330]; caffeine oxidase activity [GO:0034875]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; steroid hydroxylase activity [GO:0008395]
P36776	reviewed	ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; DNA polymerase binding [GO:0070182]; G-quadruplex DNA binding [GO:0051880]; mitochondrial promoter sequence-specific DNA binding [GO:0001018]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]
P49810	reviewed	aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]; aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]
Q0P5U8	unreviewed	aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
Q13325	reviewed	double-stranded DNA binding [GO:0003690]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; single-stranded RNA binding [GO:0003727]; tRNA binding [GO:0000049]
Q6Q4G3	reviewed	metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]
Q8IXX5	reviewed	
Q9BQ95	reviewed	oxidoreductase activity, acting on NAD(P)H [GO:0016651]
Q9Y2H9	reviewed	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]
O14880	reviewed	glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; leukotriene-C4 synthase activity [GO:0004464]
P00742	reviewed	calcium ion binding [GO:0005509]; phospholipid binding [GO:0005543]; serine-type endopeptidase activity [GO:0004252]
P24863	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein serine/threonine kinase activity [GO:0004674]
O14893	reviewed	
O14896	reviewed	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region DNA binding [GO:0044212]
P10909	reviewed	amyloid-beta binding [GO:0001540]; chaperone binding [GO:0051087]; low-density lipoprotein particle receptor binding [GO:0050750]; misfolded protein binding [GO:0051787]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]; tau protein binding [GO:0048156]; ubiquitin protein ligase binding [GO:0031625]
Q9Y5L4	reviewed	protein transporter activity [GO:0008565]; zinc ion binding [GO:0008270]
P15976	reviewed	C2H2 zinc finger domain binding [GO:0070742]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; p53 binding [GO:0002039]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; RNA polymerase II transcription factor binding [GO:0001085]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]
Q14134	reviewed	cadherin binding involved in cell-cell adhesion [GO:0098641]; DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; p53 binding [GO:0002039]; zinc ion binding [GO:0008270]
Q15560	reviewed	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
O14908	reviewed	actin binding [GO:0003779]; cadherin binding [GO:0045296]; myosin binding [GO:0017022]; PDZ domain binding [GO:0030165]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]
Q9H9D4	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]
O14910	reviewed	L27 domain binding [GO:0097016]
Q13368	reviewed	
Q14168	reviewed	
Q8N3R9	reviewed	protein domain specific binding [GO:0019904]
O14917	reviewed	calcium ion binding [GO:0005509]
O14920	reviewed	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; IkappaB kinase activity [GO:0008384]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; scaffold protein binding [GO:0097110]
Q92754	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
O14929	reviewed	H4 histone acetyltransferase activity [GO:0010485]; histone acetyltransferase activity [GO:0004402]; histone binding [GO:0042393]
Q09028	reviewed	histone binding [GO:0042393]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q13829	reviewed	GTP-Rho binding [GO:0017049]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]
O14933	reviewed	ISG15 transferase activity [GO:0042296]; ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]
O43164	reviewed	metal ion binding [GO:0046872]; protein kinase A catalytic subunit binding [GO:0034236]; protein kinase A regulatory subunit binding [GO:0034237]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q13233	reviewed	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]
Q17RB8	reviewed	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
Q7Z419	reviewed	metal ion binding [GO:0046872]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q969V5	reviewed	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; SUMO transferase activity [GO:0019789]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]
Q96BH1	reviewed	metal ion binding [GO:0046872]; NF-kappaB binding [GO:0051059]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q9H9V4	reviewed	metal ion binding [GO:0046872]
Q9NS56	reviewed	antigen binding [GO:0003823]; DNA binding [GO:0003677]; DNA topoisomerase binding [GO:0044547]; metal ion binding [GO:0046872]; SUMO transferase activity [GO:0019789]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q9ULK6	reviewed	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
Q9Y675	reviewed	
V9HWE8	unreviewed	Rho GDP-dissociation inhibitor activity [GO:0005094]
O95395	reviewed	acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity [GO:0047225]; beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity [GO:0003829]; N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity [GO:0008109]
P35354	reviewed	arachidonate 15-lipoxygenase activity [GO:0050473]; enzyme binding [GO:0019899]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; peroxidase activity [GO:0004601]; prostaglandin-endoperoxide synthase activity [GO:0004666]; protein homodimerization activity [GO:0042803]
P51452	reviewed	cytoskeletal protein binding [GO:0008092]; MAP kinase phosphatase activity [GO:0033549]; phosphatase activity [GO:0016791]; protein kinase binding [GO:0019901]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine kinase binding [GO:1990782]; protein tyrosine phosphatase activity [GO:0004725]; receptor tyrosine kinase binding [GO:0030971]
P55198	reviewed	histone binding [GO:0042393]; metal ion binding [GO:0046872]; nucleosome binding [GO:0031491]
P56192	reviewed	ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]
P56706	reviewed	frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]
Q13261	reviewed	cytokine receptor activity [GO:0004896]
Q14116	reviewed	cytokine activity [GO:0005125]; interleukin-18 receptor binding [GO:0045515]
Q15366	reviewed	DNA binding [GO:0003677]; enzyme binding [GO:0019899]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]
Q6IN85	reviewed	
Q7Z656	unreviewed	
Q8IYM9	reviewed	DNA-binding transcription factor activity [GO:0003700]; protein binding, bridging [GO:0030674]; protein kinase binding [GO:0019901]; transcription corepressor activity [GO:0003714]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]
Q8N6W1	unreviewed	
Q99572	reviewed	ATP binding [GO:0005524]; ATP-gated ion channel activity [GO:0035381]; extracellularly ATP-gated cation channel activity [GO:0004931]; lipopolysaccharide binding [GO:0001530]; protein homodimerization activity [GO:0042803]; purinergic nucleotide receptor activity [GO:0001614]; signaling receptor binding [GO:0005102]
Q9NYY3	reviewed	ATP binding [GO:0005524]; ATP-dependent protein binding [GO:0043008]; protein-containing complex binding [GO:0044877]; protein serine/threonine kinase activity [GO:0004674]
P09651	reviewed	G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; telomeric repeat-containing RNA binding [GO:0061752]
Q9H1M4	reviewed	
O14949	reviewed	ubiquinol-cytochrome-c reductase activity [GO:0008121]
Q13216	reviewed	protein-containing complex binding [GO:0044877]
O14957	reviewed	electron transfer activity [GO:0009055]; ubiquinol-cytochrome-c reductase activity [GO:0008121]
P09544	reviewed	cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]
O15481	reviewed	
O43513	reviewed	transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]
O75478	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]
O75934	reviewed	
P02538	reviewed	structural constituent of cytoskeleton [GO:0005200]
P33240	reviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q6IAZ5	unreviewed	transcription coregulator activity [GO:0003712]; ubiquitin protein ligase activity [GO:0061630]
Q7Z3B4	reviewed	structural constituent of nuclear pore [GO:0017056]
Q7Z3K3	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
Q7Z4N8	reviewed	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; procollagen-proline 4-dioxygenase activity [GO:0004656]
Q8IW40	reviewed	protein homodimerization activity [GO:0042803]
Q8IYI6	reviewed	Ral GTPase binding [GO:0017160]
Q8IYX8	reviewed	gamma-tubulin binding [GO:0043015]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]
Q92783	reviewed	SH3/SH2 adaptor activity [GO:0005070]; ubiquitin-like protein ligase binding [GO:0044389]
Q96HW7	reviewed	
Q96PU5	reviewed	ion channel binding [GO:0044325]; potassium channel inhibitor activity [GO:0019870]; potassium channel regulator activity [GO:0015459]; sodium channel inhibitor activity [GO:0019871]; sodium channel regulator activity [GO:0017080]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q99732	reviewed	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; WW domain binding [GO:0050699]; zinc ion binding [GO:0008270]
Q9BUB5	reviewed	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin-dependent protein kinase activity [GO:0004683]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
Q9H0L4	reviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q9P2B4	reviewed	protein phosphatase 2A binding [GO:0051721]
Q9UBV8	reviewed	calcium-dependent protein binding [GO:0048306]; calcium ion binding [GO:0005509]; molecular adaptor activity [GO:0060090]; protein dimerization activity [GO:0046983]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]
Q9UNH6	reviewed	phosphatidylinositol binding [GO:0035091]
O14965	reviewed	ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; protein heterodimerization activity [GO:0046982]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; ubiquitin protein ligase binding [GO:0031625]
O95274	reviewed	laminin binding [GO:0043236]
P11245	reviewed	arylamine N-acetyltransferase activity [GO:0004060]
P55290	reviewed	adiponectin binding [GO:0055100]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cytoskeletal protein binding [GO:0008092]; lipoprotein particle binding [GO:0071813]; low-density lipoprotein particle binding [GO:0030169]; protein homodimerization activity [GO:0042803]
Q8IZY5	reviewed	
Q92748	reviewed	identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]
Q96J88	reviewed	
Q96JY6	reviewed	metal ion binding [GO:0046872]
Q96QR1	reviewed	cytokine activity [GO:0005125]
Q9BTC8	reviewed	chromatin binding [GO:0003682]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; protein-containing complex binding [GO:0044877]; RNA polymerase II repressing transcription factor binding [GO:0001103]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]
Q9BY76	reviewed	enzyme inhibitor activity [GO:0004857]; identical protein binding [GO:0042802]
Q9HCY8	reviewed	calcium ion binding [GO:0005509]; chemokine receptor binding [GO:0042379]
Q9P2W1	reviewed	DNA binding [GO:0003677]; nuclear receptor transcription coactivator activity [GO:0030374]
Q9UBP4	reviewed	co-receptor binding [GO:0039706]; receptor antagonist activity [GO:0048019]
Q9UJM3	reviewed	GTPase activator activity [GO:0005096]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; small GTPase binding [GO:0031267]
Q9Y337	reviewed	endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]
Q9Y5W5	reviewed	signaling receptor binding [GO:0005102]; Wnt-protein binding [GO:0017147]
O14966	reviewed	dynein complex binding [GO:0070840]; GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; kinesin binding [GO:0019894]; Rab GTPase binding [GO:0017137]
Q9UK45	reviewed	U6 snRNA binding [GO:0017070]
O14967	reviewed	calcium ion binding [GO:0005509]; protein binding involved in protein folding [GO:0044183]; unfolded protein binding [GO:0051082]
P51811	reviewed	transporter activity [GO:0005215]
Q9NZC3	reviewed	glycerophosphodiester phosphodiesterase activity [GO:0008889]; glycerophosphoinositol glycerophosphodiesterase activity [GO:0047395]; lysophospholipase activity [GO:0004622]; metal ion binding [GO:0046872]
